,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day
0,T4089,GBY-5910-1_1_4,53.55975148,-113.414852,53.55975148,-113.414852,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,T4089,GBY-5910-1_1_5,53.55975148,-113.414852,53.55975148,-113.414852,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,T4089,GBY-5910-1_1_6,53.55975148,-113.414852,53.55975148,-113.414852,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,T4089,GBY-5910-1_1_0,53.55975148,-113.414852,53.55975148,-113.414852,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,V4431,GBY-5910-2_1_3,53.55975148,-113.414852,53.55975148,-113.414852,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,V4431,GBY-5910-2_1_4,53.55975148,-113.414852,53.55975148,-113.414852,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,V4431,GBY-5910-2_1_5,53.55975148,-113.414852,53.55975148,-113.414852,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,V4431,GBY-5910-2_1_6,53.55975148,-113.414852,53.55975148,-113.414852,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,V4431,GBY-5910-2_1_0,53.55975148,-113.414852,53.55975148,-113.414852,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,X4248,RBV-5910-1_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,X4248,RBV-5910-1_1_4,53.48534225,-113.5574225,53.48534225,-113.5574225,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,X4248,RBV-5910-1_1_5,53.48534225,-113.5574225,53.48534225,-113.5574225,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,X4248,RBV-5910-1_1_6,53.48534225,-113.5574225,53.48534225,-113.5574225,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,T4118,RBV-5910-2_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,T4118,RBV-5910-2_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,roadway,1,1
0,T4118,RBV-5910-2_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,roadway,1,2
0,T4118,RBV-5910-2_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,R4013,RBV-5910-3_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,R4013,RBV-5910-3_1_4,53.48534225,-113.5574225,53.48534225,-113.5574225,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,R4013,RBV-5910-3_1_5,53.48534225,-113.5574225,53.48534225,-113.5574225,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,R4013,RBV-5910-3_1_6,53.48534225,-113.5574225,53.48534225,-113.5574225,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,P4079,RBV-5910-4_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,P4079,RBV-5910-4_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,roadway,1,1
0,P4079,RBV-5910-4_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,roadway,1,2
0,P4079,RBV-5910-4_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,T4086,OKY-5910-1_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,T4086,OKY-5910-1_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,T4086,OKY-5910-1_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,T4086,OKY-5910-1_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,V4432,ASY-1590-1_1_3,53.42626956,-113.5713273,53.42626956,-113.5713273,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,V4432,ASY-1590-1_1_4,53.42626956,-113.5713273,53.42626956,-113.5713273,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,V4432,ASY-1590-1_1_5,53.42626956,-113.5713273,53.42626956,-113.5713273,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,V4432,ASY-1590-1_1_6,53.42626956,-113.5713273,53.42626956,-113.5713273,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,X4247,MWD-5910-1_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,X4247,MWD-5910-1_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,X4247,MWD-5910-1_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,X4247,MWD-5910-1_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,X4247,MWD-5910-1_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,T4090,MWD-5910-2_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,T4090,MWD-5910-2_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,T4090,MWD-5910-2_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,T4090,MWD-5910-2_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,T4090,MWD-5910-2_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,R4008,MWD-5910-3_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,R4008,MWD-5910-3_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,R4008,MWD-5910-3_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,R4008,MWD-5910-3_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,R4008,MWD-5910-3_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,R4008,MWD-5910-3_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8
0,R4008,MWD-5910-3_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9
0,R4010,MWD-5910-4_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,R4010,MWD-5910-4_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,R4010,MWD-5910-4_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,R4010,MWD-5910-4_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,R4010,MWD-5910-4_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,R4010,MWD-5910-4_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8
0,R4010,MWD-5910-4_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9
0,T4089,GBY-5910-1_2_3,53.55975148,-113.414852,53.55975148,-113.414852,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,T4089,GBY-5910-1_2_4,53.55975148,-113.414852,53.55975148,-113.414852,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,T4089,GBY-5910-1_2_5,53.55975148,-113.414852,53.55975148,-113.414852,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,T4089,GBY-5910-1_2_6,53.55975148,-113.414852,53.55975148,-113.414852,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,T4089,GBY-5910-1_2_0,53.55975148,-113.414852,53.55975148,-113.414852,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,V4431,GBY-5910-2_2_3,53.55975148,-113.414852,53.55975148,-113.414852,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,V4431,GBY-5910-2_2_4,53.55975148,-113.414852,53.55975148,-113.414852,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,V4431,GBY-5910-2_2_5,53.55975148,-113.414852,53.55975148,-113.414852,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,V4431,GBY-5910-2_2_6,53.55975148,-113.414852,53.55975148,-113.414852,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,V4431,GBY-5910-2_2_0,53.55975148,-113.414852,53.55975148,-113.414852,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,X4248,RBV-5910-1_2_3,53.48534225,-113.5574225,53.48534225,-113.5574225,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,X4248,RBV-5910-1_2_4,53.48534225,-113.5574225,53.48534225,-113.5574225,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,X4248,RBV-5910-1_2_5,53.48534225,-113.5574225,53.48534225,-113.5574225,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,X4248,RBV-5910-1_2_6,53.48534225,-113.5574225,53.48534225,-113.5574225,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,T4118,RBV-5910-2_2_0,53.48534225,-113.5574225,53.48534225,-113.5574225,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,T4118,RBV-5910-2_2_1,53.48534225,-113.5574225,53.48534225,-113.5574225,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8
0,T4118,RBV-5910-2_2_2,53.48534225,-113.5574225,53.48534225,-113.5574225,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9
0,T4118,RBV-5910-2_2_3,53.48534225,-113.5574225,53.48534225,-113.5574225,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,R4013,RBV-5910-3_2_3,53.48534225,-113.5574225,53.48534225,-113.5574225,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,R4013,RBV-5910-3_2_4,53.48534225,-113.5574225,53.48534225,-113.5574225,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,R4013,RBV-5910-3_2_5,53.48534225,-113.5574225,53.48534225,-113.5574225,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,R4013,RBV-5910-3_2_6,53.48534225,-113.5574225,53.48534225,-113.5574225,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,P4079,RBV-5910-4_2_0,53.48534225,-113.5574225,53.48534225,-113.5574225,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,P4079,RBV-5910-4_2_1,53.48534225,-113.5574225,53.48534225,-113.5574225,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8
0,P4079,RBV-5910-4_2_2,53.48534225,-113.5574225,53.48534225,-113.5574225,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9
0,P4079,RBV-5910-4_2_3,53.48534225,-113.5574225,53.48534225,-113.5574225,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,T4086,OKY-5910-1_2_4,53.52408381,-113.5029577,53.52408381,-113.5029577,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,T4086,OKY-5910-1_2_5,53.52408381,-113.5029577,53.52408381,-113.5029577,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,T4086,OKY-5910-1_2_6,53.52408381,-113.5029577,53.52408381,-113.5029577,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,T4086,OKY-5910-1_2_0,53.52408381,-113.5029577,53.52408381,-113.5029577,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,V4432,ASY-1590-1_2_3,53.42626956,-113.5713273,53.42626956,-113.5713273,246,254.75,10000,1,0.001,1,0.5,100,roadway,1,10
0,V4432,ASY-1590-1_2_4,53.42626956,-113.5713273,53.42626956,-113.5713273,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,V4432,ASY-1590-1_2_5,53.42626956,-113.5713273,53.42626956,-113.5713273,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,V4432,ASY-1590-1_2_6,53.42626956,-113.5713273,53.42626956,-113.5713273,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,X4247,MWD-5910-1_3_3,53.45417787,-113.4393666,53.45417787,-113.4393666,414,422.75,10000,1,0.001,1,0.5,100,neighbourhood,1,17
0,X4247,MWD-5910-1_3_4,53.45417787,-113.4393666,53.45417787,-113.4393666,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,X4247,MWD-5910-1_3_5,53.45417787,-113.4393666,53.45417787,-113.4393666,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,X4247,MWD-5910-1_3_6,53.45417787,-113.4393666,53.45417787,-113.4393666,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
0,X4247,MWD-5910-1_3_0,53.45417787,-113.4393666,53.45417787,-113.4393666,342,350.75,10000,1,0.001,1,0.5,100,roadway,1,14
0,T4090,MWD-5910-2_3_3,53.45417787,-113.4393666,53.45417787,-113.4393666,414,422.75,10000,1,0.001,1,0.5,100,neighbourhood,1,17
0,T4090,MWD-5910-2_3_4,53.45417787,-113.4393666,53.45417787,-113.4393666,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,T4090,MWD-5910-2_3_5,53.45417787,-113.4393666,53.45417787,-113.4393666,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,T4090,MWD-5910-2_3_6,53.45417787,-113.4393666,53.45417787,-113.4393666,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
0,T4090,MWD-5910-2_3_0,53.45417787,-113.4393666,53.45417787,-113.4393666,342,350.75,10000,1,0.001,1,0.5,100,roadway,1,14
0,R4008,MWD-5910-3_3_3,53.45417787,-113.4393666,53.45417787,-113.4393666,414,422.75,10000,1,0.001,1,0.5,100,neighbourhood,1,17
0,R4008,MWD-5910-3_3_4,53.45417787,-113.4393666,53.45417787,-113.4393666,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,R4008,MWD-5910-3_3_5,53.45417787,-113.4393666,53.45417787,-113.4393666,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,R4008,MWD-5910-3_3_6,53.45417787,-113.4393666,53.45417787,-113.4393666,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
0,R4008,MWD-5910-3_3_0,53.45417787,-113.4393666,53.45417787,-113.4393666,342,350.75,10000,1,0.001,1,0.5,100,roadway,1,14
0,R4008,MWD-5910-3_3_1,53.45417787,-113.4393666,53.45417787,-113.4393666,366,374.75,10000,1,0.001,1,0.5,100,roadway,1,15
0,R4008,MWD-5910-3_3_2,53.45417787,-113.4393666,53.45417787,-113.4393666,390,398.75,10000,1,0.001,1,0.5,100,roadway,1,16
0,R4010,MWD-5910-4_3_3,53.45417787,-113.4393666,53.45417787,-113.4393666,414,422.75,10000,1,0.001,1,0.5,100,neighbourhood,1,17
0,R4010,MWD-5910-4_3_4,53.45417787,-113.4393666,53.45417787,-113.4393666,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,R4010,MWD-5910-4_3_5,53.45417787,-113.4393666,53.45417787,-113.4393666,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,R4010,MWD-5910-4_3_6,53.45417787,-113.4393666,53.45417787,-113.4393666,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
0,R4010,MWD-5910-4_3_0,53.45417787,-113.4393666,53.45417787,-113.4393666,342,350.75,10000,1,0.001,1,0.5,100,roadway,1,14
0,R4010,MWD-5910-4_3_1,53.45417787,-113.4393666,53.45417787,-113.4393666,366,374.75,10000,1,0.001,1,0.5,100,roadway,1,15
0,R4010,MWD-5910-4_3_2,53.45417787,-113.4393666,53.45417787,-113.4393666,390,398.75,10000,1,0.001,1,0.5,100,roadway,1,16
0,T4089,GBY-5910-1_3_3,53.55975148,-113.414852,53.55975148,-113.414852,414,422.75,10000,1,0.001,1,0.5,100,roadway,1,17
0,T4089,GBY-5910-1_3_4,53.55975148,-113.414852,53.55975148,-113.414852,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,T4089,GBY-5910-1_3_5,53.55975148,-113.414852,53.55975148,-113.414852,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,T4089,GBY-5910-1_3_6,53.55975148,-113.414852,53.55975148,-113.414852,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
0,T4089,GBY-5910-1_3_0,53.55975148,-113.414852,53.55975148,-113.414852,342,350.75,10000,1,0.001,1,0.5,100,neighbourhood,1,14
0,V4431,GBY-5910-2_3_3,53.55975148,-113.414852,53.55975148,-113.414852,414,422.75,10000,1,0.001,1,0.5,100,roadway,1,17
0,V4431,GBY-5910-2_3_4,53.55975148,-113.414852,53.55975148,-113.414852,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,V4431,GBY-5910-2_3_5,53.55975148,-113.414852,53.55975148,-113.414852,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,V4431,GBY-5910-2_3_6,53.55975148,-113.414852,53.55975148,-113.414852,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
0,V4431,GBY-5910-2_3_0,53.55975148,-113.414852,53.55975148,-113.414852,342,350.75,10000,1,0.001,1,0.5,100,neighbourhood,1,14
0,X4248,RBV-5910-1_3_3,53.48534225,-113.5574225,53.48534225,-113.5574225,414,422.75,10000,1,0.001,1,0.5,100,roadway,1,17
0,X4248,RBV-5910-1_3_4,53.48534225,-113.5574225,53.48534225,-113.5574225,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,X4248,RBV-5910-1_3_5,53.48534225,-113.5574225,53.48534225,-113.5574225,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,X4248,RBV-5910-1_3_6,53.48534225,-113.5574225,53.48534225,-113.5574225,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
0,T4118,RBV-5910-2_3_0,53.48534225,-113.5574225,53.48534225,-113.5574225,342,350.75,10000,1,0.001,1,0.5,100,neighbourhood,1,14
0,T4118,RBV-5910-2_3_1,53.48534225,-113.5574225,53.48534225,-113.5574225,366,374.75,10000,1,0.001,1,0.5,100,roadway,1,15
0,T4118,RBV-5910-2_3_2,53.48534225,-113.5574225,53.48534225,-113.5574225,390,398.75,10000,1,0.001,1,0.5,100,roadway,1,16
0,T4118,RBV-5910-2_3_3,53.48534225,-113.5574225,53.48534225,-113.5574225,414,422.75,10000,1,0.001,1,0.5,100,roadway,1,17
0,R4013,RBV-5910-3_3_3,53.48534225,-113.5574225,53.48534225,-113.5574225,414,422.75,10000,1,0.001,1,0.5,100,roadway,1,17
0,R4013,RBV-5910-3_3_4,53.48534225,-113.5574225,53.48534225,-113.5574225,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,R4013,RBV-5910-3_3_5,53.48534225,-113.5574225,53.48534225,-113.5574225,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,R4013,RBV-5910-3_3_6,53.48534225,-113.5574225,53.48534225,-113.5574225,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
0,P4079,RBV-5910-4_3_0,53.48534225,-113.5574225,53.48534225,-113.5574225,342,350.75,10000,1,0.001,1,0.5,100,neighbourhood,1,14
0,P4079,RBV-5910-4_3_1,53.48534225,-113.5574225,53.48534225,-113.5574225,366,374.75,10000,1,0.001,1,0.5,100,roadway,1,15
0,P4079,RBV-5910-4_3_2,53.48534225,-113.5574225,53.48534225,-113.5574225,390,398.75,10000,1,0.001,1,0.5,100,roadway,1,16
0,P4079,RBV-5910-4_3_3,53.48534225,-113.5574225,53.48534225,-113.5574225,414,422.75,10000,1,0.001,1,0.5,100,roadway,1,17
0,T4086,OKY-5910-1_3_4,53.52408381,-113.5029577,53.52408381,-113.5029577,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,T4086,OKY-5910-1_3_5,53.52408381,-113.5029577,53.52408381,-113.5029577,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,T4086,OKY-5910-1_3_6,53.52408381,-113.5029577,53.52408381,-113.5029577,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
0,T4086,OKY-5910-1_3_0,53.52408381,-113.5029577,53.52408381,-113.5029577,342,350.75,10000,1,0.001,1,0.5,100,neighbourhood,1,14
0,V4432,ASY-1590-1_3_3,53.42626956,-113.5713273,53.42626956,-113.5713273,414,422.75,10000,1,0.001,1,0.5,100,roadway,1,17
0,V4432,ASY-1590-1_3_4,53.42626956,-113.5713273,53.42626956,-113.5713273,438,446.75,10000,1,0.001,1,0.5,100,neighbourhood,1,18
0,V4432,ASY-1590-1_3_5,53.42626956,-113.5713273,53.42626956,-113.5713273,462,470.75,10000,1,0.001,1,0.5,100,neighbourhood,1,19
0,V4432,ASY-1590-1_3_6,53.42626956,-113.5713273,53.42626956,-113.5713273,486,494.75,10000,1,0.001,1,0.5,100,neighbourhood,1,20
